Strain,Stress,Plastic Strain,
0.002689602,4.976785846,,
0.007731462,18.43737931,,
0.012987435,27.70372988,,
0.018243409,36.97008045,,
0.024807852,48.02467411,0,1935.865841
0.032645081,57.45359224,0.007837229,
0.041775487,67.20764547,0.016967634,
0.053485449,76.9616987,0.028677596,
0.066472954,85.54526555,0.041665101,
0.079442106,92.37310281,0.054634253,
0.092399023,98.03045368,0.067591171,
0.105347784,102.9074803,0.080539931,
0.118294505,107.5894259,0.093486653,
0.13123307,111.4910471,0.106425217,
0.144167556,115.0025063,0.119359704,
0.157102042,118.5139655,0.13229419,
0.17003245,121.6352625,0.145224598,
0.182964898,124.9516406,0.158157045,
0.195891227,127.6827755,0.171083375,
0.208813479,130.0237483,0.184005626,
0.221741847,132.9499643,0.196933995,
0.234662059,135.095856,0.209854207,
0.247584311,137.4368287,0.222776458,
0.260506562,139.7778015,0.23569871,
0.273422696,141.5335311,0.248614843,
0.28633883,143.2892607,0.261530977,
0.299259042,145.4351524,0.274451189,
0.312173136,146.9958009,0.287365284,
0.32508927,148.7515305,0.300281418,
0.338007443,150.7023411,0.313199591,
0.350919498,152.0679086,0.326111646,
0.363837671,154.0187192,0.339029819,
0.376755844,155.9695299,0.351947992,
0.389671978,157.7252595,0.364864126,
0.402588112,159.480989,0.377780259,
0.415506285,161.4317997,0.390698432,
0.428426497,163.5776914,0.403618644,
0.44134467,165.5285021,0.416536817,
0.454266921,167.8694748,0.429459069,
0.467187133,170.0153665,0.442379281,
0.480109385,172.3563393,0.455301532,
0.493031636,174.6973121,0.468223783,
0.505955926,177.2333659,0.481148074,
0.518882256,179.9645008,0.494074403,
0.531806546,182.5005547,0.506998694,
0.544734915,185.4267706,0.519927063,
0.557661245,188.1579055,0.532853392,
0.570589614,191.0841215,0.545781761,
0.583517982,194.0103375,0.55871013,
0.596454508,197.7168777,0.571646655,
0.609376759,200.0578505,0.584568907,
0.622315324,203.9594718,0.597507471,
0.635245732,207.0807688,0.610437879,
0.648180218,210.592228,0.623372366,
0.661114705,214.1036871,0.636306852,
0.674049191,217.6151463,0.649241338,
0.686983677,221.1266055,0.662175825,
0.699922242,225.0282268,0.675114389,
0.712862846,229.1249291,0.688054993,
0.725801411,233.0265504,0.700993558,
0.738742014,237.1232528,0.713934162,
0.751680579,241.0248741,0.726872727,
0.764623222,245.3166575,0.73981537,
0.777565865,249.6084409,0.752758013,
0.790506469,253.7051433,0.765698617,
0.803451151,258.1920078,0.778643299,
0.816397873,262.8739533,0.79159002,
0.829342555,267.3608178,0.804534702,
0.842291315,272.2378444,0.817483463,
0.855235998,276.7247089,0.830428145,
0.86818068,281.2115734,0.843372827,
0.88113148,286.2836811,0.856323627,
0.894086358,291.7459509,0.869278505,
0.907035118,296.6229775,0.882227266,
0.9199798,301.109842,0.895171948,
0.9277409,303.2557337,0.902933048,
