Strain,Stress,PlasticStrain
0.001149364,11.76152505,
0.004758121,33.83953168,
0.006712865,50.55612948,
0.008366879,64.04671717,
0.010622352,80.47004132,
0.012577095,96.52677342,
0.014381474,114.3588585,
0.017710982,130.9969008,
0.021694674,154.5189707,0
0.027087306,172.6862732,0.005392631
0.029568326,189.6118285,0.007873652
0.032790431,205.5617252,0.011095756
0.037172493,224.2264979,0.015477818
0.042900679,245.803059,0.021206004
0.048213571,261.0532886,0.026518897
0.053250794,273.3982761,0.03155612
0.061596045,283.1147986,0.039901371
0.066377648,291.7590393,0.044682974
0.074301877,300.2603091,0.052607203
0.084601871,309.6234035,0.062907197
0.094751501,318.4249455,0.073056826
0.103383812,326.2400216,0.081689137
0.112569739,331.6589187,0.090875064
0.122493821,338.1176042,0.100799146
0.132417903,345.2326946,0.110723228
0.141966072,351.5098786,0.120271398
0.152266066,357.7935997,0.130571392
0.162190148,363.6124155,0.140495474
0.171963865,370.5635008,0.150269191
0.181887947,377.6753867,0.160193273
0.191407201,384.2705188,0.169712526
0.201261883,390.8437964,0.179567209
0.21218647,398.2686955,0.190491796
0.22173464,404.3441257,0.200039965
0.231658722,412.2025263,0.209964047
0.241582804,419.2810856,0.219888129
0.251506886,427.0195107,0.229812211
0.261430968,434.1580579,0.239736293
0.271204685,441.8015022,0.24951001
0.281279131,449.5149324,0.259584457
0.291203213,457.373333,0.269508539
0.301127295,466.1515465,0.279432621
0.310901012,474.0066144,0.289206338
0.320975459,482.1911392,0.299280785
0.330899541,490.8465205,0.309204866
0.340823623,499.5447502,0.319128948
0.350747705,508.5429189,0.32905303
0.360671787,517.121173,0.338977112
0.370595869,526.1793295,0.348901194
