,leg_count,displacement,nStiffness,nStiffnessMax
0,8.0,29.0,7.64921228e-07,1.727411939e-05
1,8.0,29.0,7.910748066e-07,1.786474235e-05
2,8.0,29.0,8.189450564e-07,1.849413268e-05
3,8.0,28.275,8.948176456e-07,2.020755377e-05
4,8.0,28.275,9.152655424e-07,2.066932604e-05
5,8.0,28.275,9.469426563e-07,2.138468629e-05
6,8.0,27.56812,9.805691316e-07,2.214406873e-05
7,8.0,26.20695,1.01504515e-06,2.292263631e-05
8,8.0,25.55178,1.098045843e-06,2.479703046e-05
9,8.0,24.29017,1.135054772e-06,2.563279842e-05
10,8.0,24.29017,1.236893631e-06,2.79326125e-05
11,8.0,23.68292,1.216309596e-06,2.746776583e-05
12,8.0,23.09085,1.32120829e-06,2.983667978e-05
13,8.0,21.93702,1.366368177e-06,3.08565198e-05
14,8.0,21.93702,1.414350686e-06,3.194010275e-05
15,8.0,21.38859,1.464702072e-06,3.307718173e-05
16,8.0,21.38859,1.599587395e-06,3.612327993e-05
17,8.0,20.33253,1.654899938e-06,3.737239609e-05
18,8.0,19.82422,1.71280359e-06,3.868002694e-05
19,8.0,19.82422,1.774727769e-06,4.007845285e-05
20,8.0,19.32861,1.9532907e-06,4.411091695e-05
21,8.0,18.37426,2.019835511e-06,4.561368999e-05
22,8.0,17.9149,2.091798109e-06,4.723881225e-05
23,8.0,17.9149,2.167257908e-06,4.894291134e-05
24,8.0,17.46703,2.408409999e-06,5.438881854e-05
25,8.0,16.18948,2.490970727e-06,5.625327703e-05
26,8.0,16.18948,2.580703447e-06,5.827969968e-05
27,8.0,15.78474,2.674239081e-06,6.03920031e-05
28,6.0,20.91375,1.15e-06,2.575111681e-05
29,6.0,20.91375,1.19e-06,2.664680783e-05
30,6.0,20.39091,1.24e-06,2.77664216e-05
31,6.0,20.39091,1.28e-06,2.866211262e-05
32,6.0,19.38411,1.37e-06,3.067741741e-05
33,6.0,18.89951,1.42e-06,3.179703119e-05
34,6.0,18.89951,1.48e-06,3.314056772e-05
35,6.0,18.42702,1.54e-06,3.448410425e-05
36,6.0,17.51718,1.64e-06,3.67233318e-05
37,6.0,17.51718,1.71e-06,3.829079108e-05
38,6.0,17.07925,1.77e-06,3.963432761e-05
39,6.0,17.07925,1.84e-06,4.120178689e-05
40,6.0,16.23596,1.98e-06,4.433670546e-05
41,6.0,15.83006,2.06e-06,4.61280875e-05
42,6.0,15.43431,2.14e-06,4.791946954e-05
43,6.0,15.43431,2.22e-06,4.971085158e-05
44,6.0,14.67224,2.4e-06,5.374146116e-05
45,6.0,14.30543,2.5e-06,5.598068871e-05
46,6.0,14.30543,2.59e-06,5.799599351e-05
47,6.0,13.94779,2.69e-06,6.023522105e-05
48,6.0,13.25912,2.93e-06,6.560936717e-05
49,6.0,12.92764,3.05e-06,6.829644023e-05
50,6.0,12.92764,3.17e-06,7.098351329e-05
51,6.0,12.60445,3.3e-06,7.38945091e-05
52,6.0,11.68256,3.63e-06,8.128396001e-05
53,6.0,11.68256,3.76e-06,8.419495582e-05
54,6.0,11.3905,3.91e-06,8.755379715e-05
55,6.0,11.3905,4.06e-06,9.091263847e-05
56,6.0,22.5922,9.72e-07,2.176529177e-05
57,6.0,22.02739,1e-06,2.239227548e-05
58,6.0,22.02739,1.03e-06,2.306404375e-05
59,6.0,21.47671,1.07e-06,2.395973477e-05
60,6.0,21.47671,1.11e-06,2.485542579e-05
61,4.0,14.25938,1.835171e-06,4.197253973e-05
62,4.0,13.9029,1.912291e-06,4.37363657e-05
63,4.0,13.9029,1.994942e-06,4.562669221e-05
64,4.0,13.55533,2.082239e-06,4.762327825e-05
65,4.0,12.88604,2.196978e-06,5.024749541e-05
66,4.0,12.88604,2.290061e-06,5.237641414e-05
67,4.0,12.56389,2.387095e-06,5.459569693e-05
68,4.0,12.56389,2.493816e-06,5.703653292e-05
69,4.0,11.94355,2.636584e-06,6.030180659e-05
70,4.0,11.64496,2.748377e-06,6.285864524e-05
71,4.0,11.06999,3.044751e-06,6.963707051e-05
72,4.0,11.06999,2.99281e-06,6.844911817e-05
73,4.0,10.79324,3.17871e-06,7.27008719e-05
74,4.0,10.52341,3.311593e-06,7.574006388e-05
75,4.0,10.52341,3.456444e-06,7.905297824e-05
76,4.0,10.26032,3.609724e-06,8.255867383e-05
77,4.0,9.753715,3.854349e-06,8.815353804e-05
78,4.0,9.509872,4.017906e-06,9.189428082e-05
79,4.0,9.509872,4.19308e-06,9.590071819e-05
80,4.0,9.272125,4.38132e-06,0.0001002059905
81,4.0,8.814314,4.711522e-06,0.0001077581023
82,4.0,8.593956,4.91272e-06,0.0001123597394
83,4.0,8.593956,5.127713e-06,0.0001172768846
84,4.0,8.379107,5.358261e-06,0.0001225497911
85,4.0,7.965388,5.807227e-06,0.0001328181766
86,4.0,7.766253,6.038695e-06,0.0001381121246
87,4.0,7.766253,6.3411e-06,0.000145028486
88,4.0,7.572097,6.627798e-06,0.0001515856097
89,4.0,17.1,1.231207e-06,2.815916595e-05
90,4.0,16.7,1.297958e-06,2.968584057e-05
91,4.0,16.3,1.370709e-06,3.134974232e-05
92,4.0,15.9,1.450186e-06,3.316747568e-05
93,4.0,15.5,1.53638e-06,3.51388348e-05
94,4.0,15.1,1.63084e-06,3.729924715e-05
95,4.0,14.7,1.730911e-06,3.958798974e-05
96,2.0,7.763296,3.66e-06,8.41511935e-05
97,2.0,7.569214,3.84e-06,8.828977679e-05
98,2.0,7.569214,4.04e-06,9.288820266e-05
99,2.0,7.379984,4.26e-06,9.794647112e-05
100,2.0,7.015597,4.38e-06,0.0001007055266
101,2.0,7.015597,4.6e-06,0.0001057637951
102,2.0,6.840207,4.84e-06,0.0001112819062
103,2.0,6.840207,5.1e-06,0.0001172598598
104,2.0,6.502472,5.27e-06,0.0001211685218
105,2.0,6.33991,5.53e-06,0.0001271464754
106,2.0,6.33991,5.81e-06,0.0001335842716
107,2.0,6.181412,6.12e-06,0.0001407118318
108,2.0,5.876205,6.32e-06,0.0001453102576
109,2.0,5.7293,6.65e-06,0.0001528976603
110,2.0,5.7293,6.97e-06,0.0001602551417
111,2.0,5.586068,7.35e-06,0.0001689921509
112,2.0,5.310256,7.7e-06,0.0001770393962
113,2.0,5.1775,8.08e-06,0.0001857764053
114,2.0,5.1775,8.49e-06,0.0001952031784
115,2.0,5.1775,8.93e-06,0.0002053197153
116,2.0,4.798814,9.42e-06,0.0002165858587
117,2.0,4.678844,9.89e-06,0.0002273921595
118,2.0,4.678844,1.04e-05,0.0002391181455
119,2.0,4.678844,1.09e-05,0.0002506142101
120,2.0,4.228214,1.16e-05,0.0002667087007
121,2.0,4.228214,1.22e-05,0.0002805039783
122,2.0,4.228214,1.29e-05,0.0002965984689
123,2.0,4.122509,1.35e-05,0.0003103937465
124,2.0,7.731614,3.1e-06,7.127560105e-05
125,2.0,7.731614,3.13e-06,7.196536493e-05
126,2.0,7.73,3.19e-06,7.33448927e-05
127,2.0,7.73,3.23e-06,7.426457787e-05
128,2.0,7.73,3.38e-06,7.771339728e-05
129,10.0,38.22,5.41e-07,1.228993433e-05
130,10.0,37.4556,5.58e-07,1.267429272e-05
131,10.0,37.4556,5.76e-07,1.308150786e-05
132,10.0,36.70649,5.95e-07,1.350404784e-05
133,10.0,35.97236,6.14e-07,1.39458693e-05
134,10.0,34.54785,6.47e-07,1.468987019e-05
135,10.0,34.54785,6.68e-07,1.515622594e-05
136,10.0,33.85689,6.89e-07,1.564171335e-05
137,10.0,33.85689,7.12e-07,1.615571892e-05
138,10.0,33.17975,7.35e-07,1.667941971e-05
139,10.0,31.86583,7.76e-07,1.761548628e-05
140,10.0,31.22851,8e-07,1.815889758e-05
141,10.0,31.22851,8.26e-07,1.874797925e-05
142,10.0,30.60394,8.53e-07,1.935761587e-05
143,10.0,29.99186,8.81e-07,2.000355225e-05
144,10.0,28.80418,9.33e-07,2.118527496e-05
145,10.0,28.80418,9.63e-07,2.185600441e-05
146,10.0,28.2281,9.94e-07,2.256299048e-05
147,10.0,27.66354,1.03e-06,2.329524633e-05
148,10.0,27.66354,1.06e-06,2.40645533e-05
149,10.0,26.0367,1.13e-06,2.563478852e-05
150,10.0,26.0367,1.17e-06,2.647301305e-05
151,10.0,25.51597,1.2e-06,2.73141659e-05
152,10.0,25.51597,1.24e-06,2.82040559e-05
153,10.0,25.00565,1.28e-06,2.914792678e-05
154,10.0,23.53512,1.38e-06,3.126693734e-05
155,10.0,23.53512,1.42e-06,3.22662192e-05
156,10.0,23.06442,1.47e-06,3.330819999e-05
157,10.0,23.06442,1.52e-06,3.440602306e-05
158,10.0,22.60313,1.57e-06,3.555301459e-05
159,10.0,21.27389,1.7e-06,3.852425565e-05
160,10.0,21.27389,1.75e-06,3.976424956e-05
161,10.0,20.84841,1.81e-06,4.105250392e-05
162,10.0,20.43144,1.87e-06,4.240838193e-05
163,10.0,20.43144,1.93e-06,4.383767212e-05
