BridgeLoc, leg count, bounding angle, ntn length, wire_width, nStiffness,curve_len,str_len
3,4,40.67166784,0.996028822,0.023317007,2.13E-05,4.725989521,12.14079525
7,4,40.95832541,1.01797899,0.021054781,1.52E-05,4.736292981,12.42147571
15,4,32.78037861,0.996028822,0.03,9.69E-05,4.670954694,8.347364592
20,4,43.02922548,0.968423382,0.014288827,4.34E-06,4.822525785,13.25558318
32,4,40.98207315,0.968423382,0.022851968,2.00E-05,4.743972419,12.13796783
34,4,43.83742314,0.90000001,0.01,1.62E-06,4.89483595,13.26062159
37,4,34.49857687,1.01797899,0.03,8.05E-05,4.653046078,9.225092656
42,4,40.96871113,0.900000013,0.022824888,2.14E-05,4.779541661,11.7161856
43,4,40.40812848,1.01797899,0.021206093,1.63E-05,4.734861384,12.12906844
44,4,42.90639696,0.968423382,0.02235211,1.59E-05,4.74612928,13.18646719
47,4,41.00372081,0.985180212,0.025292632,2.65E-05,4.71247019,12.25158963
51,4,42.29961743,0.996028822,0.019464145,1.09E-05,4.761363983,13.02333135
60,4,35.83059445,0.94090248,0.03,7.62E-05,4.703211179,9.444942525
61,4,40.65773373,0.902470658,0.024211475,2.61E-05,4.7656501,11.57233648
63,4,35.97124477,0.960135826,0.03,7.37E-05,4.690426881,9.609003249
67,4,30.00000035,0.973617897,0.028319557,0.000107294,4.712268206,7.065495678
68,4,30.38966949,0.94090248,0.027685519,0.000100005,4.748302357,7.077104107
70,4,33.76769037,0.948921763,0.03,9.24E-05,4.705218719,8.555311882
77,4,34.38043092,0.902470658,0.027992841,7.46E-05,4.754587625,8.596030746
78,4,41.61485889,0.948921763,0.02414883,2.26E-05,4.740007778,12.35601922
80,4,34.45668295,0.955644056,0.03,8.59E-05,4.698369343,8.893714524
81,4,44.99999993,1.018152141,0.010479827,1.61E-06,4.834712849,14.74164425
83,4,31.96112818,0.973617897,0.027503664,8.27E-05,4.714905265,7.888141159
89,4,30.92175956,1.018152141,0.03,0.0001126,4.653031353,7.656385766
91,4,41.59434894,0.973617897,0.025123067,2.49E-05,4.71909369,12.49708413
93,4,30,0.902470658,0.028515543,0.000116911,4.783551083,6.735301326
95,4,30.00222675,0.960135826,0.028400552,0.000109513,4.724414562,7.005955936
96,4,30.00000059,0.955644056,0.028370787,0.000109645,4.729109637,6.984653185
102,4,36.13611887,0.948921763,0.03,7.33E-05,4.696979394,9.628032842
