BridgeLoc, leg count, bounding angle, ntn length, wire_width, nStiffness,,,
0,6,32.74330346,0.900000013,0.02908835,6.84E-05,0.677925624,0.674106288,0.335755272
1,6,31.56250149,1.01797899,0.02792211,5.95E-05,0.67174289,0.668570247,0.333301995
2,6,36.29733678,0.968423382,0.022091185,1.99E-05,0.670807898,0.668048908,0.333038709
4,6,33.25961634,0.90000001,0.027364434,5.43E-05,0.6772849,0.673714991,0.335558569
5,6,32.80844948,0.985180212,0.028525934,5.81E-05,0.672634075,0.669464639,0.333652822
6,6,33.11922724,0.900000013,0.026305317,4.90E-05,0.677456542,0.673816902,0.335610035
8,6,41.55835056,0.968423382,0.01,1.46E-06,0.667479214,0.665393502,0.331906812
9,6,32.11077021,0.996028822,0.022744434,3.16E-05,0.672649104,0.669367927,0.33364381
10,6,35.56014896,0.90000001,0.015719399,8.66E-06,0.67491703,0.672041532,0.334786224
11,6,34.70900907,0.985180212,0.015175733,7.70E-06,0.671068119,0.66820208,0.333079274
12,6,34.71862505,0.900000013,0.015337482,8.77E-06,0.67566498,0.672706067,0.335067878
13,6,34.51695966,1.01797899,0.020294848,1.75E-05,0.66941109,0.666798371,0.332463519
14,6,34.48460612,0.968423382,0.020094142,1.80E-05,0.672183956,0.669308143,0.333535484
16,6,30.00000002,0.90000001,0.03,9.73E-05,0.6815593,0.6769879,0.337135
17,6,30.02803445,0.985180212,0.029714529,8.59E-05,0.675417488,0.671815016,0.334600285
18,6,34.47241791,0.900000013,0.021306473,2.32E-05,0.675913233,0.672882008,0.335148597
19,6,40.0473965,1.01797899,0.01,1.52E-06,0.666076155,0.664097174,0.331359281
21,6,31.54837551,0.996028822,0.025415305,4.63E-05,0.673160283,0.669818034,0.333823965
22,6,32.59405463,0.90000001,0.02529006,4.60E-05,0.678114853,0.674229623,0.335816464
23,6,30.97623649,0.985180212,0.029133916,7.40E-05,0.674400628,0.670968273,0.334264723
24,6,32.10080108,0.900000013,0.03,7.97E-05,0.678747777,0.674678783,0.336035119
25,6,31.6129657,1.01797899,0.023045211,3.37E-05,0.671700108,0.668537217,0.333289394
26,6,32.59033078,0.968423382,0.029163019,6.45E-05,0.673742916,0.670614509,0.334088583
27,6,32.58890381,0.996028822,0.028957539,6.13E-05,0.672225861,0.66901333,0.333492499
28,6,33.3943935,0.90000001,0.02558902,4.40E-05,0.677122249,0.673619503,0.335510334
29,6,30.38916363,0.985180212,0.03,8.54E-05,0.67502421,0.671494918,0.334472656
30,6,30.00000002,0.900000013,0.03,9.73E-05,0.6815593,0.6769879,0.337135
31,6,31.44332897,1.01797899,0.025392787,4.55E-05,0.671844599,0.668648691,0.333331664
33,6,37.49376895,0.996028822,0.013037016,3.83E-06,0.668552658,0.666053526,0.332254547
35,6,32.73355315,0.985180212,0.017381463,1.38E-05,0.672701192,0.669518534,0.333676611
36,6,31.44391276,0.900000013,0.029766465,8.30E-05,0.679610837,0.675357742,0.33635955
38,6,30.00000006,0.968423382,0.03,9.02E-05,0.676606898,0.672907424,0.335015081
39,6,35.893896,0.996028822,0.019815979,1.46E-05,0.669611752,0.666934041,0.332562648
40,6,35.47176914,0.90000001,0.01761858,1.21E-05,0.674989003,0.672115755,0.33481629
